W,D,H_pbar,C,kappa,score,group,n,true_noise_rate
2.967154656596549,2.0863246460386207,5.05347930263517,0.9982934331567828,0.41578809294309393,1.4133719559266555,"Allegro > Electronics > Stage, Studio and DJ Equipment",368,0.14945652173913043
2.68514993910541,3.7496113999608744,6.434761339066284,0.9794836554376585,0.25714047457441724,1.231348547434783,Allegro > Fashion > Jewelry and Watches,7280,0.05714285714285714
1.9824067468290225,2.277709290490467,4.26011603731949,0.9958663263181168,0.5078169488312904,1.5015841255928088,Allegro > Health > Alternative Medicine,574,0.2229965156794425
4.3520256795543615,2.4655177396794743,6.817543419233836,0.9923884374962451,0.21209838739231568,1.2028724247559786,Allegro > Health > Dermatological cosmetics,239,0.1297071129707113
1.2912487040181657,2.5229400557734394,3.8141887597916053,0.9987889591258996,0.5590325468237152,1.557144494685459,Allegro > Health > Hospital and medical office equipment,272,0.30514705882352944
2.983088204284195,2.3154906197830436,5.2985788240672385,0.9982759110212983,0.3873871379299495,1.384995159056252,Allegro > Health > Massage Devices and Equipment,398,0.25879396984924624
2.3534673149897216,2.7075741015671397,5.061041416556861,0.9958695621441529,0.41512351761488897,1.4092784378670329,Allegro > Health > Medical equipment,399,0.3408521303258145
2.7664864488793306,2.6009493362283607,5.367435785107691,0.9941875545799971,0.3799508406068789,1.3719299516635641,Allegro > Health > Medicine Cabinet Essentials,1231,0.25264012997562957
2.2210088386475677,2.3470879308426484,4.568096769490216,0.9989217036873346,0.47183537779017104,1.4702483031294493,Allegro > Health > Oral hygiene,501,0.11377245508982035
2.2635206701054917,2.1331359443426265,4.396656614448118,0.9988827751531713,0.49162763634296425,1.4899611528854255,Allegro > Health > Other,164,0.07926829268292683
1.7926330927562797,2.852252358468264,4.644885451224543,0.9991705026009994,0.4629190854082157,1.461705597831921,Allegro > Health > Personal Hygiene,318,0.14779874213836477
1.0635039163091837,1.8340760449225375,2.8975799612317212,0.9988134017961504,0.6650740127462362,1.663098238913435,Allegro > Health > Rehabilitation and Orthopedic Equipment,435,0.04367816091954023
1.1807776377592971,2.4942735414714,3.675051179230697,0.9981689907765461,0.5752137566428699,1.5723295257255452,Allegro > Health > Specialized Medical Equipment,308,0.16233766233766234
2.2888752550819236,2.41461658335522,4.703491838437143,0.9985663984277441,0.45619229641905834,1.454104696853405,Allegro > Health > Vision correction,110,0.13636363636363635
2.2503748453048873,4.417560799104212,6.667935644409099,0.8634583881736406,0.23720322313113118,1.0682735008880395,Allegro > Home and Garden > Construction Work and Equipment,19483,0.40081096340399325
1.6832884418792458,4.1776109403898545,5.860899382269101,0.8663337984115079,0.33095292729443526,1.1530495050099037,Allegro > Home and Garden > Equipment,37902,0.10601023692681125
1.3506227892517757,3.8596917908388813,5.210314580090657,0.9033258066223575,0.39814632308453035,1.2629816550764166,Allegro > Home and Garden > Furniture,12775,0.14270058708414873
2.3936547889678357,4.121118836640485,6.514773625608321,0.9114452164459138,0.2525675725670441,1.1416467222915023,Allegro > Home and Garden > Garden,11617,0.17543255573728156
2.526869051668309,3.911991586405323,6.438860638073632,0.9665487422730661,0.25709132379729294,1.2150400379386572,Allegro > Home and Garden > Lighting,6116,0.20765206017004578
2.65533342269661,3.898535674279798,6.553869096976408,0.9321482196050437,0.24651347583206906,1.1619353172105578,Allegro > Home and Garden > Tools,8955,0.19341150195421553
2.0339157811012245,2.4283580769933244,4.462273858094549,0.9965802705768354,0.4843835715054078,1.4793073813306685,Allegro > Kids > Bicycles and Vehicles,857,0.07117852975495916
2.8143266385355346,2.532699410802435,5.34702604933797,0.9994812607170347,0.381664959606665,1.3809482357162204,Allegro > Kids > Car Seats,96,0.15625
3.1941746360533725,3.536074985130703,6.730249621184075,0.9745075650514786,0.22279450367729114,1.1916224943368883,Allegro > Kids > Clothing,5475,0.03780821917808219
2.650321806796779,3.1432391231024597,5.793560929899239,0.9946859942243416,0.3306307438084075,1.323559764350541,"Allegro > Kids > Events, Parties",2683,0.16250465896384644
3.35101555264268,2.751404682239278,6.102420234881958,0.9908714443655181,0.2950343936553437,1.2832126001442934,Allegro > Kids > Feeding,765,0.16862745098039217
2.239911175397674,3.2402676398277674,5.480178815225441,0.9978737170376343,0.3664574359048369,1.3635519607400746,Allegro > Kids > Garden Toys,751,0.06790945406125166
2.772077168374555,3.201779018648421,5.973856187022976,0.9943776294315554,0.309791237756863,1.3024271060508923,Allegro > Kids > Health and Hygiene,963,0.17653167185877466
1.851893451261898,2.938581780156992,4.79047523141889,0.9936365616435798,0.4468381238123731,1.4376312585997744,Allegro > Kids > Kids' Room,1754,0.10547320410490307
2.8400600332863895,3.028676867901686,5.8687369011880754,0.9915285073742247,0.3219990558836653,1.310799750630465,Allegro > Kids > Mother and Baby Accessories,753,0.12881806108897742
2.126597272060328,3.4663457963127775,5.592943068373105,0.9820882948065941,0.3551397376787093,1.3308668742015388,Allegro > Kids > School Supplies,3583,0.08037957019257605
2.242402995419723,2.821207662068428,5.063610657488151,0.9967508495187428,0.41471378243051593,1.4101171644634907,Allegro > Kids > Shoes,1475,0.08542372881355932
2.579659029006611,2.2659509622468077,4.8456099912534185,0.9985949759351581,0.4397591299909388,1.4377362337657258,Allegro > Kids > Strollers,228,0.13157894736842105
2.443535748355007,4.272792984813695,6.7163287331687025,0.8287450183630454,0.23299165795418197,1.0218356942127202,Allegro > Kids > Toys,19820,0.2250252270433905
2.3295825312421368,3.3581687713000328,5.6877513025421695,0.9868865555798065,0.3437552131293955,1.326133953827678,Allegro > Sports and Travel > Bicycles and Accessories,2731,0.16147931160746978
2.5994154965556437,2.1249231459088267,4.72433864246447,0.9994557361479086,0.4536816464147593,1.452890460042167,Allegro > Sports and Travel > Collections,134,0.03731343283582089
2.2144141686129166,2.4289115236736287,4.643325692286545,0.9993994391169986,0.46305774689950674,1.4621790916471467,Allegro > Sports and Travel > Extreme Sports,153,0.1895424836601307
3.1426511950651133,2.907125403094499,6.049776598159612,0.9908386407994688,0.3013124377166414,1.2893906470426004,Allegro > Sports and Travel > Fishing,1971,0.1004566210045662
