kind,rho,mean_s,max_s,p90_s,C,kappa,C_kappa,GUARD
structured,0.4248929314672726,0.6428691973059812,0.9998573706100352,0.9936116807029892,0.43579684491510084,0.2201743520413607,0.09595128795085169,0.5317481328659526
diffuse,0.4248929314672726,0.6070367211017544,0.999232853208647,0.9934902931388185,0.40220666156829427,0.022783535565525814,0.009163689778532637,0.4113703513468269
structured,0.48816611851250913,0.6663586746691135,0.9997034204352564,0.9965702469632882,0.458840001649082,0.27246935234755143,0.12501983808047482,0.5838598397295568
diffuse,0.48816611851250913,0.6739013697685532,0.999807773980278,0.996256901441111,0.46642548384884847,0.019787998034776377,0.009229626557770635,0.4756551104066191
structured,0.40382724452285523,0.6173200087962393,0.9994842362137539,0.9950844836738459,0.4116641803621146,0.21791029749183444,0.08970586400944058,0.5013700443715552
diffuse,0.40382724452285523,0.6288960441612094,0.9991118374634292,0.9945732682786339,0.4224834026728945,0.01977058715725477,0.008352744935038025,0.43083614760793254
structured,0.2456893378248005,0.51617201918769,0.9993392746146404,0.9911330363752878,0.32422175778141976,0.13922211192084089,0.04513883784901659,0.36936059563043633
diffuse,0.2456893378248005,0.5097633814392298,0.9993423863622528,0.9918173787181905,0.3190616639193694,0.020804739036819675,0.006637994654495945,0.32569965857386535
structured,0.33861314661493397,0.5833194759672902,0.999149403632188,0.9932923082394928,0.3809178578655058,0.18236353233777414,0.06946552609089182,0.45038338395639765
diffuse,0.33861314661493397,0.5851919204350267,0.9997976984438364,0.9951683048833964,0.3825729053868867,0.01964248913598743,0.007514684137785069,0.39008758952467176
structured,0.28161342594835653,0.5439234712775435,0.9992367179439743,0.9917026327198895,0.3470524811907209,0.1466666780358138,0.050901034520329784,0.3979535157110507
diffuse,0.28161342594835653,0.5362545244181021,0.9996124078101092,0.9926820195108791,0.3406624506097433,0.02370372095848927,0.008074967670288489,0.3487374182800318
structured,0.35117632615766914,0.5835057146484868,0.9996397853069428,0.9929463823581511,0.38108228133922095,0.16929028013976033,0.06451352616421567,0.44559580750343664
diffuse,0.35117632615766914,0.5826176576084983,0.9994914478041559,0.9953682277719158,0.3802986281248174,0.02139106102515398,0.008134991162000308,0.3884336192868177
structured,0.2686263360266802,0.5328049354353923,0.9995201496200783,0.9918030177641899,0.33780859574895816,0.15320428527237162,0.05175372447058265,0.3895623202195408
diffuse,0.2686263360266802,0.5349617269464568,0.9992596138485885,0.9930540233887928,0.3395914406511126,0.020955327473841545,0.00711624984615769,0.34670769049727024
structured,0.48646971768890457,0.6744848490199812,0.9992767330486978,0.9962631979862739,0.4670161929440899,0.2680445766625704,0.12518115773226388,0.5921973506763538
diffuse,0.48646971768890457,0.6686618833362966,0.999435715369796,0.9955250569377249,0.4611463719978345,0.019374787756445744,0.008934613082113019,0.4700809850799475
structured,0.21030105447759442,0.5097936110387566,0.9996697413205344,0.9901278508166539,0.3190859083796119,0.11212655712675157,0.03577800433426798,0.3548639127138799
diffuse,0.21030105447759442,0.5113999013152544,0.9994611718008283,0.985426164550979,0.32037546986589277,0.019153640512990622,0.00613635657899177,0.3265118264448845
structured,0.2025488498875666,0.5077802668419524,0.9994626471830457,0.9878348469695216,0.3174731527593714,0.09862313157012592,0.03131019651457017,0.34878334927394156
diffuse,0.2025488498875666,0.4894962106705802,0.9991774209697039,0.9870473095192308,0.3030066355275745,0.020427608598035274,0.006189700953164822,0.30919633648073935
structured,0.4751972454603808,0.6558010335077268,0.9993711556885055,0.9951301623639619,0.44837681327517515,0.24386611571407912,0.10934391182967391,0.557720725104849
diffuse,0.4751972454603808,0.6761662094774089,0.9996654139921053,0.9969713462191387,0.46872157459877295,0.022896611102723008,0.010732135609044076,0.479453710207817
structured,0.4564147112660984,0.650687377889349,0.9995634661024364,0.9960514196903709,0.4433718008921722,0.24761688225956602,0.10978634301872875,0.553158143910901
diffuse,0.4564147112660984,0.6570737511803085,0.9998818207193938,0.9956135609710001,0.4496287979828626,0.020499443539720996,0.00921714015808231,0.4588459381409449
structured,0.2537723233187502,0.5291094117560049,0.9995632168948443,0.9930972949572964,0.33476516894232405,0.14641168284966544,0.04901353174429822,0.3837787006866223
diffuse,0.2537723233187502,0.5255740850091913,0.9995103391569328,0.9920964835795233,0.3318669852414293,0.019589004159411116,0.006500943754265587,0.3383679289956949
structured,0.46862721698362836,0.6745717411986586,0.9997860993692851,0.9960054906608058,0.4671042104558887,0.23843744707373604,0.11137513545849521,0.5784793459143839
diffuse,0.46862721698362836,0.6602003278211122,0.999420889589585,0.9955438854660269,0.45271523868674957,0.021628603220551712,0.009791598269453068,0.46250683695620265
structured,0.21154510466066612,0.5192813595153555,0.9997263320499656,0.9880155498253543,0.3267401537410105,0.11506321482896886,0.03759577250315221,0.3643359262441627
diffuse,0.21154510466066612,0.513682141411058,0.998998988550553,0.9904127536549876,0.32221210068531003,0.021108790567390345,0.0068015077516451,0.32901360843695515
structured,0.20458797490772385,0.5126215374768232,0.9990941097410995,0.9884367287769461,0.3213579359995384,0.0895715044155625,0.028784513783358702,0.3501424497828971
diffuse,0.20458797490772385,0.4984784848080589,0.9995128349508017,0.9912326524119879,0.3100734636450411,0.01980167328396676,0.006139973421127049,0.31621343706616817
structured,0.3977930056660905,0.6128174844769784,0.9992910489201434,0.9943086900202497,0.40750576318209386,0.22119618082185089,0.09013871847877278,0.4976444816608666
diffuse,0.3977930056660905,0.632856559758638,0.9995675850779038,0.9944270709352849,0.4262282344268047,0.022864704132097624,0.009745582472915236,0.4359738168997199
structured,0.39560565153228344,0.6002526090655729,0.9994074287823801,0.9943784999913804,0.39604391990081356,0.19738607550167975,0.07817355507552319,0.47421747497633676
diffuse,0.39560565153228344,0.6276771115960329,0.9994805632799504,0.9961922820612831,0.42133534066562706,0.022747921697547246,0.009584503337871078,0.43091984400349814
structured,0.33984162757533026,0.5712002999162368,0.9991949237113401,0.9939869449161743,0.3703082810269591,0.1829093057916591,0.0677328306115437,0.4380411116385028
