group,n,true_noise,mean_1mp,p90_1mp,mean_ent,C_full,C_proj,out_mass,Cproj_kappa
Allegro > Business and Services > Office and advertising > Stationery,711,0.18424753867791843,0.658781886100769,0.9969654083251953,3.3764944076538086,0.35365597261876397,0.057849744597245206,0.507592450382002,0.03056783770419636
Allegro > Culture and Entertainment > Books and Comics > Young Adult,709,0.04936530324400564,0.8787512183189392,0.9981273412704468,2.8737964630126953,0.7227186104680102,0.014297512834255092,0.8770269432088047,0.014297512833685149
Allegro > Electronics > Computers > Portable Disks and Memory,696,0.07902298850574713,0.39169880747795105,0.982208251953125,1.8343056440353394,0.1498233294273118,0.03684164853605805,0.21745259391850436,0.026388242508307954
Allegro > Automotive > Tires and Rims > Accessories,686,0.007288629737609329,0.4736339747905731,0.9852676391601562,2.381408214569092,0.261801954754992,0.033480042308178,0.401911364265503,0.01673644845870106
Allegro > Electronics > Computers > Tablets,676,0.16420118343195267,0.36318469047546387,0.9908905029296875,1.4097331762313843,0.18272686951853095,0.01117696456231735,0.3069718809875511,0.01117696456175513
Allegro > Home and Garden > Construction Work and Equipment > Windows and Window Sills,675,0.6088888888888889,0.5629550814628601,0.9988037347793579,3.1530895233154297,0.33837953423648504,0.056924978259639804,0.48969099830698093,0.02750993962475942
"Allegro > Kids > Events, Parties > Costumes",662,0.18126888217522658,0.5869494676589966,0.9975787997245789,2.2880032062530518,0.2649044364726386,0.027294144925184012,0.4135074330060503,0.018156172672795977
Allegro > Home and Garden > Tools > Power Tools Parts,659,0.025796661608497723,0.7815132141113281,0.9987762570381165,3.6444623470306396,0.5931251529458486,0.11868532928130654,0.7501461240879863,0.11868532926356465
Allegro > Kids > Clothing > Baby Clothing,656,0.1402439024390244,0.3016418218612671,0.9777297973632812,1.336553692817688,0.17827683895055296,0.042058487395069705,0.259878216356766,0.04205848739148644
Allegro > Kids > Toys > Arts and Crafts,656,0.16920731707317074,0.7393536567687988,0.999049186706543,3.635734796524048,0.5309639122683915,0.05341826877847704,0.7157436951813174,0.03997964626654699
Allegro > Home and Garden > Garden > Garden Architecture,650,0.12615384615384614,0.9161112904548645,0.9991014003753662,4.801590919494629,0.678297018428893,0.06617543672835732,0.8380030648524944,0.03184145371347445
Allegro > Automotive > Garage Tools and Equipment > Bodywork and painting,644,0.2096273291925466,0.7002164721488953,0.9997500777244568,4.043093204498291,0.5551288690731371,0.19414645021979973,0.6757892422054126,0.1845834241335655
Allegro > Kids > School Supplies > Art Supplies,624,0.14903846153846154,0.6693865656852722,0.9981301426887512,3.7672009468078613,0.4466745003676001,0.06313746020929759,0.6202265090094163,0.041873292792141706
Allegro > Automotive > Car Parts > Fuel system,608,0.06907894736842106,0.48741722106933594,0.998410701751709,2.3373982906341553,0.3231591663281402,0.09374773821591227,0.4316619900300315,0.09374773820444553
Allegro > Home and Garden > Garden > Pots and Containers,603,0.02155887230514096,0.546485424041748,0.9986203908920288,2.514277935028076,0.3246339847489088,0.07678285648153522,0.4518217650021289,0.07678285647439334
Allegro > Home and Garden > Furniture > Hallway,602,0.07641196013289037,0.5842588543891907,0.9913123846054077,2.5253260135650635,0.36800358826466384,0.05420273618068221,0.5293631386321249,0.036265302425104985
Allegro > Beauty > Make-up > Eyes,595,0.14789915966386555,0.7720111012458801,0.9995023012161255,3.510812759399414,0.5495847765673394,0.10551209063892752,0.7127605005472648,0.06306052307600957
Allegro > Automotive > Garage Tools and Equipment > Garage Equipment,584,0.21404109589041095,0.9582788944244385,0.9998642802238464,5.040450572967529,0.829333758927137,0.18713140859402563,0.9248703196644783,0.11364794772076785
Allegro > Culture and Entertainment > Books and Comics > Comics,553,0.06148282097649186,0.9673704504966736,0.9991893768310547,3.397782325744629,0.7643912813753986,0.0164519797278605,0.9019148255989737,0.009422217510997274
Allegro > Home and Garden > Furniture > Bathroom and Toilet,552,0.19927536231884058,0.4722568690776825,0.992190957069397,1.7196671962738037,0.21913831604560252,0.05951243899945631,0.30495529427476553,0.05951243899486755
Allegro > Electronics > Photography > Photo Accessories,551,0.12522686025408347,0.7756592035293579,0.9998425245285034,4.148850440979004,0.6155675971780497,0.19901332071424618,0.7427343306437595,0.11857442386675536
Allegro > Home and Garden > Equipment > Towels,546,0.45054945054945056,0.5197664499282837,0.9636077880859375,2.1956875324249268,0.1573104032859649,0.013273093259667622,0.2640575213091714,0.00499560902746986
Allegro > Automotive > Motorcycle Parts and Equipment > Clothes,545,0.025688073394495414,0.5813004970550537,0.9990979433059692,2.4504425525665283,0.43151792226808133,0.11907668050167267,0.5635643726095148,0.08725389947868085
"Allegro > Fashion > Clothing, Shoes, Accessories > Men's Underwear",540,0.04814814814814815,0.5499146580696106,0.9933971166610718,1.9135931730270386,0.380855386527232,0.06099002132028884,0.5425454093350304,0.0461726822310422
"Allegro > Culture and Entertainment > Books and Comics > Law, Administration",536,0.6063432835820896,0.6482675075531006,0.9985055923461914,2.499478578567505,0.35981053208148706,0.012770396322768725,0.5499902753465211,0.012770396322126353
Allegro > Collections and Art > Antiques and Art > Painting,530,0.7603773584905661,0.8055811524391174,0.999051570892334,2.887578248977661,0.25234296126833466,0.025770891855803776,0.3961640341101953,0.020575690014751607
Allegro > Culture and Entertainment > Books and Comics > CD Audiobooks,522,0.01532567049808429,0.871428370475769,0.9997206926345825,2.9948508739471436,0.3697431301913783,0.0569827771798551,0.5300893968549267,0.03723772616170774
Allegro > Automotive > Machine and Other Vehicles Parts > For Trailers and Semi-Trailers,519,0.279383429672447,0.807654082775116,0.9999208450317383,3.81577467918396,0.6369861144476714,0.22447953866562556,0.7551986522297869,0.22447953863355954
Allegro > Business and Services > Office and advertising > Advertising,518,0.3359073359073359,0.9314743876457214,0.9998292326927185,3.8475935459136963,0.7981481306535076,0.14629041941001622,0.9101773292171449,0.09172390723559563
Allegro > Automotive > Car Care Products > Repair and protection supplies,516,0.26744186046511625,0.9456112384796143,0.9997724294662476,5.441659450531006,0.7477792458093867,0.1250719017873465,0.876724913947342,0.12169350647599313
Allegro > Beauty > Fragrance > Fragrances for men,513,0.056530214424951264,0.6180844902992249,0.9854949712753296,2.258847951889038,0.33072710799447314,0.03944135346506267,0.4922807827795226,0.03944135346235413
Allegro > Fashion > Jewelry and Watches > Hair Ornaments,513,0.021442495126705652,0.4676836431026459,0.9797332882881165,2.60202956199646,0.23298749859104742,0.012855543649781975,0.3812437946336311,0.006432054306072306
Allegro > Home and Garden > Construction Work and Equipment > Floors,511,0.25048923679060664,0.7133655548095703,0.9995207786560059,4.252530097961426,0.5359779013007379,0.127278118752935,0.6873866755901717,0.09259151342743975
Allegro > Home and Garden > Lighting > Lighting Accessories and Fixtures,510,0.3862745098039216,0.8273820281028748,0.9982351064682007,3.4215245246887207,0.5399924292755829,0.05401753790962873,0.723721243353451,0.032770051685283
Allegro > Automotive > Car Equipment and Accessories > Car Gadgets,504,0.041666666666666664,0.6773161292076111,0.9994097352027893,3.0390310287475586,0.4989647766169627,0.09157620064417449,0.6644049555299774,0.07947411105348674
Allegro > Beauty > Manicure and pedicure > Accessories and tools,498,0.18875502008032127,0.6564773321151733,0.9996131658554077,3.960012435913086,0.4605443572762923,0.1120609785765076,0.6081879525538908,0.07678620788240005
"Allegro > Supermarket > Groceries > Sweets, Snacks, Desserts",493,0.22515212981744423,0.9714332818984985,0.9998376965522766,5.607800006866455,0.7325449416127934,0.08917164989166262,0.8721225391053283,0.06018606399895892
Allegro > Collections and Art > Handmade > Decoupage,491,0.20162932790224034,0.9179067015647888,0.9996652603149414,3.996560573577881,0.7708292501529419,0.16159406771645823,0.8895991559912376,0.139589141830742
"Allegro > Electronics > Audio, Video and Household Appliances > Home Audio",488,0.1762295081967213,0.9904494881629944,0.9999240636825562,5.848515033721924,0.8804689985448059,0.09970765017167774,0.9577224949588541,0.052948151969035906
Allegro > Collections and Art > Handmade > Scrapbooking,488,0.2766393442622951,0.7942153215408325,0.9994906783103943,4.164198875427246,0.6556645536164278,0.1970862652136216,0.7793438736288274,0.1970862651854686
